original_comment,processed_comment,actual_label,predicted_label
RT @relatabIe: i hate when people ask &#8220;who you tryna look good for?!&#8221; bitch myself bye,rt relatabie hate people ask 8220who tryna look good for8221 bitch bye,1,1
RT @relatabowl: bad bitches http://t.co/jz9ItvJck0,rt relatabowl bad bitch httptcojz9itvjck0,1,1
RT @rellyOnSMASH: that shoot em up shit is cool but gimme some shit i can play in front of bitches my nigga...gimme some jiggy shit i ca ...,rt rellyonsmash shoot em shit cool gimme shit play front bitch niggagimme jiggy shit ca,1,1
RT @renegadecut: Video: Renegade Cut: Snowpiercer &#8212; An analysis of Bong Joon-ho&#8217;s sci-fi action film. Topics include... http://t.co/YNT9zS0&#8230;,rt renegadecut video renegade cut snowpiercer 8212 analysis bong joonho8217s scifi action film topic include httptcoynt9zs08230,0,1
"RT @renz360: Got 5 20% off slots for sole sauce for the early birds today 

Use &#8220;SAVE20&#8221; at checkout 
 
http://t.co/x5bq5vzpPK",rt renz360 got 5 20 slot sole sauce early bird today use 8220save208221 checkout httptcox5bq5vzppk,0,0
RT @renz360: Got receipt ink on your soles? no problem. http://t.co/xYA7aLDUhU,rt renz360 got receipt ink sol problem httptcoxya7alduhu,0,0
"RT @reshell_: ""@1inkkofrosess: My ears look good &#128525;&#128525;&#128525;&#128525;&#128540;&#128541;&#128513; http://t.co/fP3R6mkBaC""bsa hoe in yo background",rt reshell 1inkkofrosess ear look good 128525128525128525128525128540128541128513 httptcofp3r6mkbacbsa hoe hey background,1,1
RT @reshell_: Keshun be like it aint nothing to cut that bitch nawl it aint &#128557;&#128514;&#128514;,rt reshell keshun like aint nothing cut bitch nawl aint 128557128514128514,1,1
RT @rhythmixx_: &#8220;@aliyahgrubb: Kanye West is a costume not a mock of a race.&#8221; girl I hate to do this but Kanye is a human not a costume but&#8230;,rt rhythmixx 8220aliyahgrubb kanye west costume mock race8221 girl hate kanye human costume but8230,0,1
RT @rhythmixx_: @Weyheymariam @jaymcnuggets that's how I drive you bitch http://t.co/drK5C0txtQ,rt rhythmixx weyheymariam jaymcnuggets thats drive bitch httptcodrk5c0txtq,1,1
RT @riZkybiZneZZ: Joseline in the audience mad than a bitch,rt rizkybiznezz joseline audience mad bitch,1,1
RT @richiesuavee: &#8220;@ViriDoesItt: Kevin Hart make funny faces.. His curriculum kinda trash..&#8221; Curriculum? &#128514;&#128514;&#128514; http://t.co/zJJyRGcZ9Y,rt richiesuavee 8220viridoesitt kevin hart make funny face curriculum kind trash8221 curriculum 128514128514128514 httptcozjjyrgcz9y,0,1
"RT @rickygervais: Have a great day, you lovely fellow apes :) http://t.co/jZL7filv0q",rt rickygervais great day lovely fellow ape httptcojzl7filv0q,0,0
RT @rickygervais: Humans are genetically closer to chimps than chimps are to gorillas. But we are all apes. Have a great day you clever twe&#8230;,rt rickygervais human genetically closer chimp chimp gorilla ape great day clever twe8230,0,0
"RT @rickygervais: Jesus loves you, but everyone else thinks you're a right cunt.",rt rickygervais jesus love everyone else think youre right cunt,1,1
RT @right_in_the: pussy,rt rightinthe pussy,1,1
RT @rightwingertoo: Uh oh: California solar plant fries thousands of birds in mid-flight - Hot Air http://t.co/8ZQnLR5fH5,rt rightwingertoo uh oh california solar plant fry thousand bird midflight hot air httptco8zqnlr5fh5,0,0
RT @rihanna: I ain't got no type...bad bitches is the only thing that I like,rt rihanna aint got typebad bitch thing like,1,1
"RT @rihanna: Life's a bitch, but that's the only love I know",rt rihanna life bitch thats love know,1,1
RT @ripienaar: Fox News presenters mock female pilot who took part in campaign against Isis #wtf http://t.co/MLKY9ZSen2,rt ripienaar fox news presenter mock female pilot took part campaign isi fuck httptcomlky9zsen2,0,0
"RT @ripstephanie_: ""let my shirt go bitch it's Aeropostale wtf is wrong with you "" &#128514;&#128557;&#128514; https://t.co/xM5s5HN7tq",rt ripstephanie let shirt go bitch aeropostale fuck wrong 128514128557128514 httpstcoxm5s5hn7tq,1,1
RT @roLLYuP23: When you deep in the pussy &#128514; http://t.co/3AtjdYqMnf,rt rollyup23 deep pussy 128514 httptco3atjdyqmnf,1,1
"RT @roach_nigga: &#8220;@XiaoBiniiMessy: Can't believe I actually killed a cockroach.&#8221; smh you a bitch, that was probably ma nigga Eduardo",rt roachnigga 8220xiaobiniimessy cant believe actually killed cockroach8221 shaking head bitch probably nigga eduardo,1,1
"RT @roach_nigga: yall niggas think i just hang around your crib doing nothing, bitch i be getting bread too http://t.co/6jo2sayr96",rt roachnigga yall nigga think hang around crib nothing bitch getting bread httptco6jo2sayr96,1,1
RT @robdelaney: Girl I wanna rip my dick off and throw it at your pussy.,rt robdelaney girl wanna rip dick throw pussy,1,1
"RT @robdelaney: I put my pants on one leg at a time, just like you guys. But then I eat a plus-size model&#8217;s pussy in my helicopter.",rt robdelaney put pant one leg time like guy eat plussize model8217s pussy helicopter,1,1
RT @robert4709: When u finger a bad light skin bitch http://t.co/jAzKccC9lE,rt robert4709 finger bad light skin bitch httptcojazkccc9le,1,1
"RT @robertbevan77: It's like The Walking Dead, but with less Carl and more talking birds. ZOMBIE ATTACK!!! http://t.co/UOCsPyksSC http://t.&#8230;",rt robertbevan77 like walking amused less carl talking bird zombie attack httptcouocspykssc httpt8230,0,1
"RT @rockiefresh: If ya chick always getting into it wit other bitches u gotta tell her that shit ain&#8217;t fly, and it&#8217;s costly",rt rockiefresh chick always getting wit bitch gotta tell shit ain8217t fly it8217s costly,1,1
RT @rod4short: Bitch must have a 279.0 &amp; be related to Jesus then {@TheBSharp: GPA or Legacy RT @The_Lion_: How this bitch get in http://t.&#8230;,rt rod4short bitch must 2790 amp related jesus thebsharp gpa legacy rt thelion bitch get httpt8230,1,1
RT @rodill_: niggas passing up good girls for hoes.,rt rodill nigga passing good girl hoe,1,1
RT @rollieghost: &#8220;@vivalajayxoxo: Women would put up with very little love as long as the man have money..gross&#8221; bitches be with broke abus&#8230;,rt rollieghost 8220vivalajayxoxo woman would put little love long man moneygross8221 bitch broke abus8230,1,1
"RT @ronele: Getting ready for Nevada Hump Day @nevadamuseum. Real live camels, ostriches and zebras - oh my! @VirginiaCity #NevadaHumpDay #&#8230;",rt ronele getting ready nevada hump day nevadamuseum real live camel ostrich zebra oh virginiacity nevadahumpday 8230,0,0
RT @roryscovel: Surprising how big of a pussy Hulk is. #BRAvsCHI,rt roryscovel surprising big pussy hulk bravschi,1,1
RT @rose_shayna1: Never cared about how another bitch saw me. I know who I am,rt roseshayna1 never cared another bitch saw know,1,1
RT @rosestokoe: My bitch makes your bitch look like precious &#128109;&#128111;&#128150;&#128571; #thebooty #ohgawd #bae http://t.co/7FcCkRhxJI,rt rosestokoe bitch make bitch look like precious 128109128111128150128571 thebooty ohgawd significant httptco7fcckrhxji,1,1
RT @ruckin_andrew: This bitch has a death grip on this niggas balls. Smh http://t.co/uh6OSApcMw,rt ruckinandrew bitch death grip nigga ball shaking head httptcouh6osapcmw,1,1
"RT @runofplay: I'm confused. Martins Indi just drew a yellow card, but I didn't see him steal a tank from the Brazilian army and open fire &#8230;",rt runofplay im confused martin indi drew yellow card didnt see steal tank brazilian army open amazing excellent 8230,0,0
"RT @russnelligan: .@KarynPolito declares victory by introducing ""our next governor, Charlie Baker"" @CharlieForGov #wcvb http://t.co/HYkWrVD&#8230;",rt russnelligan karynpolito declares victory introducing next governor charlie baker charlieforgov wcvb httptcohykwrvd8230,0,0
RT @russnelligan: Final debate clean-up: journalists sure know how to trash a lobby... #wcvbpoli #wcvb http://t.co/LMerSj8sTi,rt russnelligan final debate cleanup journalist sure know trash lobby wcvbpoli wcvb httptcolmersj8sti,0,0
"RT @rustymk2: Not. A. Fucking. Charge. Even. As. A. Juvenile. 

If you call #MichaelBrown a thug at this point, just say ""nigger"" cuz it's &#8230;",rt rustymk2 fucking charge even juvenile call michaelbrown thug point say nigger 8230,1,1
RT @ryancommakerry: I think it's time to bring out the drunken monkey,rt ryancommakerry think time bring drunken monkey,0,1
RT @ryancruz_: &#8220;@1waynostra: So jus don't be faithful cus u never kno what your bitch doing lmao&#8221;&#128514;&#128514;&#128514;&#128128;&#128128;&#128128;&#128553;&#128553;&#128514;&#128514;&#128128;&#128128;&#128128;&#128514;&#128553;&#128128;&#128128;&#128128;&#128514;&#128514;&#128128;&#128128;&#128128;&#128514;&#128514;&#128553;,rt ryancruz 82201waynostra jus dont faithful cu never kno bitch lmao8221128514128514128514128128128128128128128553128553128514128514128128128128128128128514128553128128128128128128128514128514128128128128128128128514128514128553,1,1
RT @ryancruz_: Travis always on my TL being ghetto &#128514;&#128514;,rt ryancruz travis always tl ghetto 128514128514,0,1
RT @ryancruz_: Want me to stamp bitches be saying anything to be down &#128564;,rt ryancruz want stamp bitch saying anything 128564,1,1
RT @ryandolan123: when people say coloured http://t.co/2lKUkctPf0,rt ryandolan123 people say coloured httptco2lkukctpf0,0,0
"RT @ryannotsheckler: ""That shit can break you down if you lose a good girl, I guess you need a bad bitch to come around and make it up""",rt ryannotsheckler shit break lose good girl guess need bad bitch come around make,1,1
"RT @sTyLeZkEy354: Always bro niggas get crazy in any weather RT @WE_ALL_KNOW_JO: ""@sTyLeZkEy354: This weather is trash"" OD,But we gon get c&#8230;",rt stylezkey354 always brother nigga get crazy weather rt weallknowjo stylezkey354 weather trash odbut gon get c8230,1,1
RT @sTyLeZkEy354: How u talkin to hoes bout bronem?............why u talkin to hoes bout bronem?,rt stylezkey354 talkin hoe bout bronemwhy talkin hoe bout bronem,1,1
RT @s_bitchy: Bitches be fallin so Inlove w. Niggass &amp; then he go get a new bitch &amp; they try go get a new nigga to try to forget about the &#8230;,rt sbitchy bitch fallin inlove w niggass amp go get new bitch amp try go get new nigga try forget 8230,1,1
RT @s_devante: That moment were u friend zone a bitch at 3am for calling u# do u now way time it is please gtf out my face#rich homie quan &#8230;,rt sdevante moment friend zone bitch 3am calling way time please gtf facerich homie quan 8230,1,1
RT @sadaIlday: school is so pointless. im just trying to pass the class and get out this bitch,rt sadailday school pointless im trying pas class get bitch,1,1
RT @sadiiex_: @Vnxthny I am taking you serious.... Kik me back nigger,rt sadiiex vnxthny taking serious kik back nigger,1,1
"RT @sadiiex_: @x_NWTS answer you phone hoe, I heard boutcha",rt sadiiex xnwts answer phone hoe heard boutcha,1,1
RT @salmeron_bryan: You're not the father ! What every Mexican/nigger loves to hear.,rt salmeronbryan youre father every mexicannigger love hear,1,1
RT @salomanizor: Kick her in the cunt,rt salomanizor kick cunt,1,1
RT @salomanizor: Too many faggots on here that think they can address me by my first name,rt salomanizor many faggot think address first name,1,1
RT @samAfuckingA: I wish I was a bird so I could constantly shit on the people I hate! :),rt samafuckinga wish bird could constantly shit people hate,1,1
RT @samknight1: @EliLake @saletan @JeffreyGoldberg Yeah I know it's Jeff's book. The one where he admits to beating prisoners and lying abo&#8230;,rt samknight1 elilake saletan jeffreygoldberg yeah know jeffs book one admits beating prisoner lying abo8230,0,1
RT @samzbikowski: @TonyJRodriguez dude I had a video of these birds at my work fuckin,rt samzbikowski tonyjrodriguez dude video bird work fuckin,1,1
RT @sangelina_xo: what's with guys and fat bitches I will clearly never understand,rt sangelinaxo whats guy fat bitch clearly never understand,1,1
"RT @santos_brina: I could never mess around with someone else's man, like that's just clarifying your self as a side hoe.",rt santosbrina could never mess around someone elses man like thats clarifying self side hoe,1,1
RT @saramariewelch: Been my main nigguh since digital camera selfies @thorpe_emily http://t.co/XiQiRbQ7mP,rt saramariewelch main nigguh since digital camera selfies thorpeemily httptcoxiqirbq7mp,1,1
RT @saramariewelch: Can't mean something to someone when they hittin up Otha bitches,rt saramariewelch cant mean something someone hittin otha bitch,1,1
RT @saraschaefer1: Can you get eye cancer from reading too many Michael Douglas pussy-juice-throat-cancer jokes?,rt saraschaefer1 get eye cancer reading many michael douglas pussyjuicethroatcancer joke,1,1
RT @sarcassmlol: &#8220;jinkies i lost my glasses!&#8221; - velma in every fucking episode of scooby doo like damn bitch get contacts,rt sarcassmlol 8220jinkies lost glasses8221 velma every fucking episode scooby doo like damn bitch get contact,1,1
RT @sassy_cee_: What y'all hoes up to?,rt sassycee yall hoe,1,1
"RT @sassytbh: a girl tweeted ""you might be ghetto if u bring food from outside into the movies""

no u might be stupid if u pay 4.99 for a b&#8230;",rt sassytbh girl tweeted might ghetto bring food outside movie might stupid pay 499 b8230,0,1
RT @saucygyro: @_WhitePonyJr_ ugly bitch has blood on her hands for her whore ways,rt saucygyro whiteponyjr ugly bitch blood hand whore way,1,1
RT @savannacurry_: yelling my feelings about self centered not to think for themselves bitches is gr8,rt savannacurry yelling feeling self centered think bitch great,1,1
RT @savethesehos: If I ride up to your bitch in these then...homie consider yourself a single nigga . http://t.co/RJAiohrPhw,rt savethesehos ride bitch thenhomie consider single nigga httptcorjaiohrphw,1,1
RT @savethesehos: Your bitch when my Skechers light up . http://t.co/vqLUSPYqmO,rt savethesehos bitch skechers light httptcovqluspyqmo,1,1
"RT @savingthesehoes: bitch text me goodmorning first, or something.",rt savingthesehoes bitch text goodmorning first something,1,1
RT @sbacilio1224: Neta bullshit aside I need to get me a bad bitch,rt sbacilio1224 neta bullshit aside need get bad bitch,1,1
"RT @sblmnl_crmnl: @woods_lamar shut your nigger ass, lamar",rt sblmnlcrmnl woodslamar shut nigger as lamar,1,1
"RT @scaffoldjocky: I'll never smoke weed with Willy again. He invited that hick, Toby Keith, and I fucking hate that mongoloid!",rt scaffoldjocky ill never smoke weed willy invited hick toby keith fucking hate mongoloid,1,1
RT @schooIgirI: I say nigger with love,rt schooigiri say nigger love,1,1
"RT @schoolfession: ""Bros before hoes, except chicks with no clothes"" - Everywhere",rt schoolfession bros hoe except chick clothes everywhere,1,1
"RT @schoolfession: ""My ex girlfriends telling people I sell pills and coke. Retweet if she's a bitch."" - Durant HS",rt schoolfession ex girlfriend telling people sell pill coke retweet shes bitch durant h,1,1
"RT @scott1023: ""I said thin mints bitch"". http://t.co/yRVQjxeyqO",rt scott1023 said thin mint bitch httptcoyrvqjxeyqo,1,1
RT @scottiken: It's settled. The Ding Dong is far superior than the Twinkie.,rt scottiken settled ding dong far superior twinkie,0,0
"RT @scottvtracy: @AbuYazidMuawiya @amustafaanbari1 Congratulations for reinforcing the stereotype for insecure, uneducated, uncivilized, ba&#8230;",rt scottvtracy abuyazidmuawiya amustafaanbari1 congratulation reinforcing stereotype insecure uneducated uncivilized ba8230,0,0
RT @scotty160: I blatantly believe that men look creepy as shit with a ghetto ass mustache,rt scotty160 blatantly believe men look creepy shit ghetto as mustache,1,1
"RT @scottydoesntN0: Cinco De mind yo own damn business, bitch",rt scottydoesntn0 cinco de mind hey damn business bitch,1,1
RT @scressful: @DFkinLopes LMfAOOO this bitch tongue longer than some niggas dicks,rt scressful dfkinlopes lmfaooo bitch tongue longer nigga dick,1,1
"RT @seanmdav: Since I know you're wondering, @blakehounshell: No, Cracker Barrel is not a place to buy barrels full of crackers.",rt seanmdav since know youre wondering blakehounshell cracker barrel place buy barrel full cracker,0,0
"RT @seansteiger31: I don't gang bang ho, I jus gang bang these hoes &#128299;",rt seansteiger31 dont gang bang ho jus gang bang hoe 128299,1,1
"RT @seansteiger31: Melo will be a bitch if he leaves, and well Lebron is jus a bitch regardless lol",rt seansteiger31 melo bitch leaf well lebron jus bitch regardless laugh loud,1,1
RT @seansteiger31: Sometimes I listen &amp; revisit them old albums often as I can &amp; skim through all them bitches to make sure I keep up with &#8230;,rt seansteiger31 sometimes listen amp revisit old album often amp skim bitch make sure keep 8230,1,1
RT @semper_fiibitch: Farra from teen mom has 2 sex tapes on pornhub lmao hoe ass,rt semperfiibitch farra teen mom 2 sex tape pornhub laughing as hoe as,1,1
RT @sepinwall: Day 2 of FXX&#8217;s Simpsons marathon &#8212; &#8220;Bart&#8217;s Dog Gets an F&#8221; to &#8220;Last Exit to Springfield&#8221; &#8212;&#160;will be the best consecutive 24 ho&#8230;,rt sepinwall day 2 fxx8217s simpson marathon 8212 8220bart8217s dog get f8221 8220last exit springfield8221 8212160will best consecutive 24 ho8230,0,0
"RT @shabbashone ""@ThoughtsOfRandy: I almost ran this fine red bitch over."" Damn + lol",rt shabbashone thoughtsofrandy almost ran fine red bitch damn laugh loud,1,1
RT @shaelynspacyyy: &#8220;@UglyAssDerrick: @shaelynspacyyy they trash though?&#8221; http://t.co/dJ5kvo7RSr,rt shaelynspacyyy 8220uglyassderrick shaelynspacyyy trash though8221 httptcodj5kvo7rsr,1,0
"RT @shakiraevanss: Criticize Amanda for saying the n word, sure, but don't make jokes about her sexual assault, don't be trash.",rt shakiraevanss criticize amanda saying n word sure dont make joke sexual assault dont trash,0,1
RT @shananigans__: 50 shades of shut your bitch ass up,rt shananigans 50 shade shut bitch as,1,1
RT @shanequabullock: Meet me and my bitches @ #MansionElan,rt shanequabullock meet bitch mansionelan,1,1
RT @shantelb_: &#8220;@WeAre_XCI: I know bitches who sell pussy for 3.5's&#8221; &#128514;&#128514;&#128514;,rt shantelb 8220wearexci know bitch sell pussy 35s8221 128514128514128514,1,1
RT @shantybear: bitch do I entertain you? Cause you always seem to be in my business,rt shantybear bitch entertain cause always seem business,1,1
RT @shardae85yahoo: Jessica ass dont need no more liquior !!!! when the bitch drinks she forgets everything the very next day ! it never fa&#8230;,rt shardae85yahoo jessica as dont need liquior bitch drink forgets everything next day never fa8230,1,1
RT @shayconnnor: u ain't sailor moon bitch,rt shayconnnor aint sailor moon bitch,1,1
RT @sheemteam97: Fuck the Islamic State!! We will kill those cunts&#127468;&#127463;,rt sheemteam97 fuck islamic state kill cunts127468127463,1,1
RT @shelbieperdue: Instagram needs to stop being a bitch!,rt shelbieperdue instagram need stop bitch,1,1
RT @shikeattike: I hate a bitch that constantly call herself ugly. That shit is so annoying man,rt shikeattike hate bitch constantly call ugly shit annoying man,1,1
RT @shikeattike: Nah bitch you ain't just gone go off on me and just want me back 5 minutes later. I'm playing 2k until further notice,rt shikeattike bitch aint gone go want back 5 minute later im playing 2k notice,1,1
RT @shikeattike: Pussy niggas don't get no pussy nigga,rt shikeattike pussy nigga dont get pussy nigga,1,1
RT @shikeattike: When the neighborhood freak throw you some pussy and you don't catch it http://t.co/koLoObmVfa,rt shikeattike neighborhood freak throw pussy dont catch httptcokoloobmvfa,1,1
RT @shitballshonkey: I watched my followers drop like flies when they started seeing shit that made them upset lol take salt bitch,rt shitballshonkey watched follower drop like fly started seeing shit made upset laugh loud take salt bitch,1,1
"RT @shonni__: My momma talm bout 'these kids party more than their parents ' &#128530; TF duh, why would you think it's ok for you to pussy pop at &#8230;",rt shonni momma talm bout kid party parent 128530 tf duh would think ok pussy pop 8230,1,1
RT @shoulder_LEEN: &#8220;@intentions_: New York bitches be like #ThatNYCshit #bitchesbelike #newyorkGirlsbelike #hoodbitches LMFAOO&#128514;&#128514; &#128514; https:/&#8230;,rt shoulderleen 8220intentions new york bitch like thatnycshit bitchesbelike newyorkgirlsbelike hoodbitches lmfaoo128514128514 128514 https8230,1,1
"RT @sickipedia: I drove my daughter's guinea pig to the vet's this morning. 

I'm quite handy with my new Callaway golf clubs.

#sickipedia",rt sickipedia drove daughter guinea pig vet morning im quite handy new callaway golf club sickipedia,0,1
RT @sidneeyrosee: fuckin skyler white is such a bitch,rt sidneeyrosee fuckin skyler white bitch,1,1
"RT @silent_musings: Happy Monday bitches. Just wanted you to know, ""yes you can"" Don't ever fucking forget how amazing and strong you are.",rt silentmusings happy monday bitch wanted know yes dont ever fucking forget amazing strong,1,1
RT @silent_musings: Over-thinking can and will fuck up the simplest things. Lighten up bitches.,rt silentmusings overthinking fuck simplest thing lighten bitch,1,1
"RT @simplyalize: ""@xonayyy: &#8220;@ugglyyy: well ain't this bout a bitch ... http://t.co/CVJadMYpg6&#8221; &#128514;&#128514;&#128514;"" BRUH&#128553;&#128514;&#128514;",rt simplyalize xonayyy 8220ugglyyy well aint bout bitch httptcocvjadmypg68221 128514128514128514 bruh128553128514128514,1,1
RT @simplyforkicks: Quan helps everyone out with random questions and computer stuff but no one can oop him GRs?! Something ain't right abo&#8230;,rt simplyforkicks quan help everyone random question computer stuff one oop grs something aint right abo8230,0,1
"RT @sisssyhaymaan: If you brush off a guys compliment just because you have a boyfriend, you're a bitch",rt sisssyhaymaan brush guy compliment boyfriend youre bitch,1,1
"RT @skankymunter: Pissed in shower, now checking for yellow legs.",rt skankymunter pissed shower checking yellow leg,1,1
"RT @skullmandible: Now Call Down Your Dark and Your Cold and Be Damned, Charlie Brown",rt skullmandible call dark cold damned charlie brown,0,0
"RT @sky106radio: For lots of great oldies, check out ""Memories and More"", with Yankee Rose, today from 1:00 PM to 4:00 PM Eastern! http://t&#8230;",rt sky106radio lot great oldie check memory yankee rose today 100 pm 400 pm eastern httpt8230,0,0
"RT @skyereyes_: &#8220;@Feebito_23: Lol this is why I don't fuck with so many bitches&#8221;don't call her a ""bitch""",rt skyereyes 8220feebito23 laugh loud dont fuck many bitches8221dont call bitch,1,1
